"id","id_first","id_second","weight"
"-482261984-199529448",-482261984,-199529448,1
"-482261984311806992",-482261984,311806992,1
"-482261984-164953023",-482261984,-164953023,1
"-482261984472545345",-482261984,472545345,1
"-482261984-843443179",-482261984,-843443179,1
"-482261984831647776",-482261984,831647776,1
"-4822619841709433876",-482261984,1709433876,1
"-482261984935858194",-482261984,935858194,1
"-482261984-482260966",-482261984,-482260966,1
"-482261984-1607672816",-482261984,-1607672816,1
"-199529448-482261984",-199529448,-482261984,1
"-199529448311806992",-199529448,311806992,1
"-199529448-164953023",-199529448,-164953023,1
"-199529448472545345",-199529448,472545345,1
"-199529448831647776",-199529448,831647776,1
"-1995294481709433876",-199529448,1709433876,1
"-199529448935858194",-199529448,935858194,1
"-199529448-482260966",-199529448,-482260966,1
"-199529448-1607672816",-199529448,-1607672816,1
"311806992-482261984",311806992,-482261984,1
"311806992-199529448",311806992,-199529448,1
"311806992-164953023",311806992,-164953023,1
"311806992472545345",311806992,472545345,1
"311806992-843443179",311806992,-843443179,1
"311806992831647776",311806992,831647776,1
"3118069921709433876",311806992,1709433876,1
"311806992935858194",311806992,935858194,1
"311806992-482260966",311806992,-482260966,1
"311806992-1607672816",311806992,-1607672816,1
"-164953023-482261984",-164953023,-482261984,1
"-164953023-199529448",-164953023,-199529448,1
"-164953023311806992",-164953023,311806992,1
"-164953023-843443179",-164953023,-843443179,1
"4725453451709433876",472545345,1709433876,3
"-164953023935858194",-164953023,935858194,1
"472545345-482260966",472545345,-482260966,3
"-164953023-1607672816",-164953023,-1607672816,1
"472545345-482261984",472545345,-482261984,1
"472545345-199529448",472545345,-199529448,1
"472545345311806992",472545345,311806992,1
"472545345-843443179",472545345,-843443179,1
"8316477761709433876",831647776,1709433876,3
"472545345935858194",472545345,935858194,1
"831647776-482260966",831647776,-482260966,3
"472545345-1607672816",472545345,-1607672816,1
"-843443179-482261984",-843443179,-482261984,1
"-843443179311806992",-843443179,311806992,1
"-843443179-164953023",-843443179,-164953023,1
"-843443179472545345",-843443179,472545345,1
"-843443179831647776",-843443179,831647776,1
"-8434431791709433876",-843443179,1709433876,1
"-843443179935858194",-843443179,935858194,1
"-843443179-482260966",-843443179,-482260966,1
"-843443179-1607672816",-843443179,-1607672816,1
"831647776-482261984",831647776,-482261984,1
"831647776-199529448",831647776,-199529448,1
"831647776311806992",831647776,311806992,1
"831647776-843443179",831647776,-843443179,1
"-1579550694-763488238",-1579550694,-763488238,5
"831647776935858194",831647776,935858194,1
"1709433876-482260966",1709433876,-482260966,3
"831647776-1607672816",831647776,-1607672816,1
"1709433876-482261984",1709433876,-482261984,1
"1709433876-199529448",1709433876,-199529448,1
"1709433876311806992",1709433876,311806992,1
"-1649530231709433876",-164953023,1709433876,3
"1709433876-843443179",1709433876,-843443179,1
"1709433876935858194",1709433876,935858194,1
"1709433876-1607672816",1709433876,-1607672816,1
"935858194-482261984",935858194,-482261984,1
"935858194-199529448",935858194,-199529448,1
"935858194311806992",935858194,311806992,1
"935858194-164953023",935858194,-164953023,1
"935858194472545345",935858194,472545345,1
"935858194-843443179",935858194,-843443179,1
"935858194831647776",935858194,831647776,1
"9358581941709433876",935858194,1709433876,1
"-164953023-482260966",-164953023,-482260966,3
"935858194-482260966",935858194,-482260966,1
"-482260966-482261984",-482260966,-482261984,1
"-482260966-199529448",-482260966,-199529448,1
"-482260966-843443179",-482260966,-843443179,1
"-482260966-1607672816",-482260966,-1607672816,1
"-1607672816311806992",-1607672816,311806992,1
